epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4807,1.09539,3.02901,1.23152,0.57824,0.3831,0.40584,0.3218,0.83378,1.38697,1.04782,0.0702703,0.0033033,0.0033033
2,56.8138,0.94886,1.37225,1.11525,0.72104,0.46507,0.52264,0.40288,0.77988,1.12605,0.99956,0.0401376,0.00650392,0.00650392
3,83.8448,0.95231,1.24094,1.10128,0.75928,0.43247,0.50693,0.37174,0.9238,1.20188,1.05075,0.00987151,0.00957121,0.00957121
4,110.829,1.05365,1.27584,1.13434,0.77644,0.43373,0.50301,0.3553,0.99063,1.36355,1.08124,0.00940006,0.00940006,0.00940006
5,137.799,1.05566,1.2248,1.12632,0.82496,0.5149,0.58646,0.43306,0.89468,0.98221,1.0322,0.00920008,0.00920008,0.00920008
6,164.925,1.0459,1.13919,1.11846,0.80887,0.50462,0.6065,0.44571,0.87995,0.93378,1.03015,0.0090001,0.0090001,0.0090001
7,192.285,1.0123,1.07745,1.10135,0.77144,0.52521,0.60265,0.43911,0.91126,0.95928,1.0236,0.00880012,0.00880012,0.00880012
8,219.91,1.00764,1.0653,1.10198,0.80243,0.55643,0.63998,0.47604,0.84645,0.86433,0.98229,0.00860014,0.00860014,0.00860014
9,247.614,0.96347,0.96605,1.07545,0.89157,0.56784,0.65893,0.49422,0.81044,0.81783,0.98742,0.00840016,0.00840016,0.00840016
10,275.855,0.95813,0.96606,1.0755,0.81501,0.55698,0.64524,0.4862,0.80259,0.82857,0.98751,0.00820018,0.00820018,0.00820018
11,303.764,0.93637,0.91739,1.06457,0.7926,0.58062,0.64945,0.49875,0.77997,0.78292,0.97082,0.0080002,0.0080002,0.0080002
12,331.709,0.91665,0.89988,1.05376,0.81324,0.60828,0.66629,0.51175,0.76374,0.78328,0.96627,0.00780022,0.00780022,0.00780022
13,359.977,0.87858,0.84823,1.0336,0.83733,0.57595,0.66314,0.50262,0.77492,0.79232,0.96937,0.00760024,0.00760024,0.00760024
14,388.259,0.88154,0.86538,1.03774,0.86843,0.5831,0.67468,0.5206,0.75033,0.75591,0.95309,0.00740026,0.00740026,0.00740026
15,416.555,0.87096,0.84797,1.03799,0.88998,0.55977,0.67681,0.52274,0.76007,0.74979,0.96814,0.00720028,0.00720028,0.00720028
16,444.679,0.83731,0.81536,1.01706,0.86186,0.62439,0.70022,0.54742,0.72896,0.66972,0.94615,0.0070003,0.0070003,0.0070003
17,472.979,0.8539,0.79407,1.02093,0.88917,0.58793,0.69195,0.53309,0.73828,0.6859,0.95871,0.00680032,0.00680032,0.00680032
18,501.358,0.81604,0.76717,1.00641,0.88453,0.61828,0.71205,0.55407,0.70844,0.6516,0.94003,0.00660034,0.00660034,0.00660034
19,529.721,0.83768,0.78204,1.01342,0.87785,0.61939,0.70578,0.54803,0.69418,0.65725,0.93822,0.00640036,0.00640036,0.00640036
20,557.94,0.81695,0.76159,1.00944,0.89396,0.61598,0.70989,0.55523,0.6951,0.65373,0.931,0.00620038,0.00620038,0.00620038
21,586.192,0.79987,0.72891,0.99137,0.88274,0.63951,0.71489,0.56081,0.68512,0.62572,0.92713,0.0060004,0.0060004,0.0060004
22,614.826,0.76873,0.7164,0.99238,0.86548,0.60861,0.70085,0.55499,0.67446,0.66368,0.92701,0.00580042,0.00580042,0.00580042
23,643.483,0.78197,0.71085,0.98754,0.89971,0.64696,0.72991,0.5713,0.65568,0.61464,0.91292,0.00560044,0.00560044,0.00560044
24,671.982,0.7652,0.69552,0.98745,0.87188,0.65204,0.73196,0.58141,0.62801,0.59738,0.90743,0.00540046,0.00540046,0.00540046
25,700.619,0.75147,0.67097,0.98138,0.90475,0.64427,0.73556,0.59279,0.62235,0.59331,0.9089,0.00520048,0.00520048,0.00520048
26,729.182,0.72918,0.66162,0.96427,0.88443,0.6621,0.73835,0.58437,0.6569,0.58834,0.91331,0.0050005,0.0050005,0.0050005
27,757.925,0.75323,0.67614,0.98355,0.86982,0.65468,0.73407,0.58134,0.63254,0.58381,0.91152,0.00480052,0.00480052,0.00480052
28,786.418,0.72058,0.65421,0.9677,0.90851,0.66658,0.74071,0.59172,0.6336,0.5794,0.91319,0.00460054,0.00460054,0.00460054
29,815.082,0.73566,0.64704,0.96574,0.85653,0.67184,0.74088,0.60346,0.60992,0.55466,0.90121,0.00440056,0.00440056,0.00440056
